Code,Crime Desc.,Key
110,HOMICIDE,Killing
120,MANSLAUGHTER,Killing
311,ROBBERY-PEDESTRIAN,Robbery
312,ROBBERY-COMMERCIAL,Robbery
313,ROBBERY-COMMERCIAL,Robbery
314,ROBBERY-COMMERCIAL,Robbery
315,ROBBERY-RESIDENCE,Robbery
316,ROBBERY-COMMERCIAL,Robbery
317,ROBBERY-PEDESTRIAN,Robbery
321,ROBBERY-PEDESTRIAN,Robbery
322,ROBBERY-COMMERCIAL,Robbery
323,ROBBERY-COMMERCIAL,Robbery
324,ROBBERY-COMMERCIAL,Robbery
325,ROBBERY-RESIDENCE,Robbery
326,ROBBERY-COMMERCIAL,Robbery
327,ROBBERY-PEDESTRIAN,Robbery
331,ROBBERY-PEDESTRIAN,Robbery
332,ROBBERY-COMMERCIAL,Robbery
333,ROBBERY-COMMERCIAL,Robbery
334,ROBBERY-COMMERCIAL,Robbery
335,ROBBERY-RESIDENCE,Robbery
336,ROBBERY-COMMERCIAL,Robbery
337,ROBBERY-PEDESTRIAN,Robbery
341,ROBBERY-PEDESTRIAN,Robbery
342,ROBBERY-COMMERCIAL,Robbery
343,ROBBERY-COMMERCIAL,Robbery
344,ROBBERY-COMMERCIAL,Robbery
345,ROBBERY-RESIDENCE,Robbery
346,ROBBERY-COMMERCIAL,Robbery
347,ROBBERY-PEDESTRIAN,Robbery
410,AGG ASSAULT,Violence
420,AGG ASSAULT,Violence
430,AGG ASSAULT,Violence
440,AGG ASSAULT,Violence
511,BURGLARY-RESIDENCE,Burglary
512,BURGLARY-NONRES,Burglary
521,BURGLARY-RESIDENCE,Burglary
522,BURGLARY-NONRES,Burglary
531,BURGLARY-RESIDENCE,Burglary
532,BURGLARY-NONRES,Burglary
610,LARCENY-NON VEHICLE,Burglary
620,LARCENY-NON VEHICLE,Burglary
630,LARCENY-NON VEHICLE,Burglary
640,LARCENY-FROM VEHICLE,Burglary
650,LARCENY-FROM VEHICLE,Burglary
660,LARCENY-NON VEHICLE,Burglary
670,LARCENY-NON VEHICLE,Burglary
680,LARCENY-NON VEHICLE,Burglary
690,LARCENY-NON VEHICLE,Burglary
710,AUTO THEFT,Auto-Theft
720,AUTO THEFT,Auto-Theft
730,AUTO THEFT,Auto-Theft
