Code,Crime Desc.,Key
1010,ARSON,Arson
1020,ARSON,Arson
1025,ARSON,Arson
1030,ARSON,Arson
1035,ARSON,Arson
1090,ARSON,Arson
520,ASSAULT,Violence
530,ASSAULT,Violence
545,ASSAULT,Violence
550,ASSAULT,Violence
551,ASSAULT,Violence
552,ASSAULT,Violence
553,ASSAULT,Violence
554,ASSAULT,Violence
555,ASSAULT,Violence
556,ASSAULT,Violence
557,ASSAULT,Violence
558,ASSAULT,Violence
560,ASSAULT,Violence
051A,ASSAULT,Violence
051B,ASSAULT,Violence
420,BATTERY,Violence
430,BATTERY,Violence
440,BATTERY,Violence
450,BATTERY,Violence
451,BATTERY,Violence
452,BATTERY,Violence
453,BATTERY,Violence
454,BATTERY,Violence
460,BATTERY,Violence
461,BATTERY,Violence
462,BATTERY,Violence
475,BATTERY,Violence
479,BATTERY,Violence
481,BATTERY,Violence
482,BATTERY,Violence
483,BATTERY,Violence
484,BATTERY,Violence
485,BATTERY,Violence
486,BATTERY,Violence
487,BATTERY,Violence
488,BATTERY,Violence
495,BATTERY,Violence
496,BATTERY,Violence
497,BATTERY,Violence
498,BATTERY,Violence
041A,BATTERY,Violence
041B,BATTERY,Violence
610,BURGLARY,Burglary
620,BURGLARY,Burglary
630,BURGLARY,Burglary
650,BURGLARY,Burglary
1478,CONCEALED CARRY LICENSE VIOLATION,Violation
1479,CONCEALED CARRY LICENSE VIOLATION,Violation
1480,CONCEALED CARRY LICENSE VIOLATION,Violation
261,CRIM SEXUAL ASSAULT,Violence
262,CRIM SEXUAL ASSAULT,Violence
263,CRIM SEXUAL ASSAULT,Violence
264,CRIM SEXUAL ASSAULT,Violence
265,CRIM SEXUAL ASSAULT,Violence
266,CRIM SEXUAL ASSAULT,Violence
271,CRIM SEXUAL ASSAULT,Violence
272,CRIM SEXUAL ASSAULT,Violence
273,CRIM SEXUAL ASSAULT,Violence
274,CRIM SEXUAL ASSAULT,Violence
275,CRIM SEXUAL ASSAULT,Violence
281,CRIM SEXUAL ASSAULT,Violence
291,CRIM SEXUAL ASSAULT,Violence
1265,CRIMINAL DAMAGE,Property
1305,CRIMINAL DAMAGE,Property
1310,CRIMINAL DAMAGE,Property
1320,CRIMINAL DAMAGE,Property
1340,CRIMINAL DAMAGE,Property
1345,CRIMINAL DAMAGE,Property
1370,CRIMINAL DAMAGE,Property
1375,CRIMINAL DAMAGE,Property
1330,CRIMINAL TRESPASS,B&E
1335,CRIMINAL TRESPASS,B&E
1350,CRIMINAL TRESPASS,B&E
1360,CRIMINAL TRESPASS,B&E
1365,CRIMINAL TRESPASS,B&E
1110,DECEPTIVE PRACTICE,Fraud
1120,DECEPTIVE PRACTICE,Fraud
1121,DECEPTIVE PRACTICE,Fraud
1122,DECEPTIVE PRACTICE,Fraud
1130,DECEPTIVE PRACTICE,Fraud
1135,DECEPTIVE PRACTICE,Fraud
1140,DECEPTIVE PRACTICE,Fraud
1150,DECEPTIVE PRACTICE,Fraud
1151,DECEPTIVE PRACTICE,Fraud
1152,DECEPTIVE PRACTICE,Fraud
1153,DECEPTIVE PRACTICE,Fraud
1154,DECEPTIVE PRACTICE,Fraud
1155,DECEPTIVE PRACTICE,Fraud
1156,DECEPTIVE PRACTICE,Fraud
1160,DECEPTIVE PRACTICE,Fraud
1170,DECEPTIVE PRACTICE,Fraud
1185,DECEPTIVE PRACTICE,Fraud
1195,DECEPTIVE PRACTICE,Fraud
1200,DECEPTIVE PRACTICE,Fraud
1205,DECEPTIVE PRACTICE,Fraud
1206,DECEPTIVE PRACTICE,Fraud
1210,DECEPTIVE PRACTICE,Fraud
1220,DECEPTIVE PRACTICE,Fraud
1230,DECEPTIVE PRACTICE,Fraud
1235,DECEPTIVE PRACTICE,Fraud
1240,DECEPTIVE PRACTICE,Fraud
1241,DECEPTIVE PRACTICE,Fraud
1242,DECEPTIVE PRACTICE,Fraud
1245,DECEPTIVE PRACTICE,Fraud
1255,DECEPTIVE PRACTICE,Fraud
1260,DECEPTIVE PRACTICE,Fraud
1261,DECEPTIVE PRACTICE,Fraud
1651,GAMBLING,Other
1661,GAMBLING,Other
1670,GAMBLING,Other
1680,GAMBLING,Other
110,HOMICIDE,Killing
142,HOMICIDE,Killing
1050,HUMAN TRAFFICKING,Other
1055,HUMAN TRAFFICKING,Other
3710,INTERFERENCE WITH PUBLIC OFFICER,Interference
3720,INTERFERENCE WITH PUBLIC OFFICER,Interference
3730,INTERFERENCE WITH PUBLIC OFFICER,Interference
3731,INTERFERENCE WITH PUBLIC OFFICER,Interference
3740,INTERFERENCE WITH PUBLIC OFFICER,Interference
3750,INTERFERENCE WITH PUBLIC OFFICER,Interference
3760,INTERFERENCE WITH PUBLIC OFFICER,Interference
3770,INTERFERENCE WITH PUBLIC OFFICER,Interference
3800,INTERFERENCE WITH PUBLIC OFFICER,Interference
3910,INTERFERENCE WITH PUBLIC OFFICER,Interference
3920,INTERFERENCE WITH PUBLIC OFFICER,Interference
3960,INTIMIDATION,Verbal
3961,INTIMIDATION,Verbal
3966,INTIMIDATION,Verbal
3970,INTIMIDATION,Verbal
3975,INTIMIDATION,Verbal
3980,INTIMIDATION,Verbal
1792,KIDNAPPING,Kidnapping
4210,KIDNAPPING,Kidnapping
4220,KIDNAPPING,Kidnapping
4230,KIDNAPPING,Kidnapping
4240,KIDNAPPING,Kidnapping
4255,KIDNAPPING,Kidnapping
2210,LIQUOR LAW VIOLATION,Violation
2220,LIQUOR LAW VIOLATION,Violation
2230,LIQUOR LAW VIOLATION,Violation
2240,LIQUOR LAW VIOLATION,Violation
2250,LIQUOR LAW VIOLATION,Violation
2251,LIQUOR LAW VIOLATION,Violation
910,MOTOR VEHICLE THEFT,Auto-Theft
915,MOTOR VEHICLE THEFT,Auto-Theft
917,MOTOR VEHICLE THEFT,Auto-Theft
918,MOTOR VEHICLE THEFT,Auto-Theft
920,MOTOR VEHICLE THEFT,Auto-Theft
925,MOTOR VEHICLE THEFT,Auto-Theft
927,MOTOR VEHICLE THEFT,Auto-Theft
928,MOTOR VEHICLE THEFT,Auto-Theft
930,MOTOR VEHICLE THEFT,Auto-Theft
935,MOTOR VEHICLE THEFT,Auto-Theft
