Code,Crime Desc.,Key
902,murder,Killing
907,murder,Killing
910,murder,Killing
912,murder,Killing
1006,all-other-crimes,Other
1099,all-other-crimes,Other
1102,sexual-assault,Violence
1109,sexual-assault,Violence
1113,sexual-assault,Violence
1199,sexual-assault,Violence
1202,robbery,Robbery
1205,robbery,Robbery
1208,robbery,Robbery
1210,robbery,Robbery
1211,robbery,Robbery
1212,robbery,Robbery
1310,all-other-crimes,Other
1311,all-other-crimes,Other
1313,other-crimes-against-persons,Violence
1314,aggravated-assault,Violence
1315,aggravated-assault,Violence
1316,public-disorder,Verbal
2005,arson,Arson
2006,arson,Arson
2007,arson,Arson
2009,arson,Arson
2099,arson,Arson
2199,all-other-crimes,Other
2201,burglary,Burglary
2202,burglary,Burglary
2203,burglary,Burglary
2204,burglary,Burglary
2205,burglary,Burglary
2206,burglary,Burglary
2301,larceny,Burglary
2302,larceny,Burglary
2303,larceny,Burglary
2304,theft-from-motor-vehicle,Burglary
2305,theft-from-motor-vehicle,Burglary
2307,larceny,Burglary
2308,larceny,Burglary
2309,larceny,Burglary
2310,larceny,Burglary
2399,auto-theft,Auto-Theft
2399,larceny,Burglary
2404,auto-theft,Auto-Theft
2501,white-collar-crime,Fraud
2503,white-collar-crime,Fraud
2506,white-collar-crime,Fraud
2508,white-collar-crime,Fraud
2589,white-collar-crime,Fraud
2601,white-collar-crime,Fraud
2602,white-collar-crime,Fraud
2604,white-collar-crime,Fraud
2605,white-collar-crime,Fraud
2606,white-collar-crime,Fraud
2607,white-collar-crime,Fraud
2609,white-collar-crime,Fraud
2699,all-other-crimes,Other
2699,drug-alcohol,Drugs
2699,larceny,Burglary
2799,white-collar-crime,Fraud
2803,all-other-crimes,Other
2999,public-disorder,Verbal
3501,drug-alcohol,Drugs
3503,drug-alcohol,Drugs
3504,drug-alcohol,Drugs
3510,drug-alcohol,Drugs
3512,drug-alcohol,Drugs
3520,drug-alcohol,Drugs
3522,drug-alcohol,Drugs
3530,drug-alcohol,Drugs
3532,drug-alcohol,Drugs
3540,drug-alcohol,Drugs
3542,drug-alcohol,Drugs
3550,drug-alcohol,Drugs
3560,drug-alcohol,Drugs
3562,drug-alcohol,Drugs
3563,drug-alcohol,Drugs
3570,drug-alcohol,Drugs
3571,drug-alcohol,Drugs
3572,drug-alcohol,Drugs
3580,drug-alcohol,Drugs
3581,drug-alcohol,Drugs
3582,drug-alcohol,Drugs
3599,drug-alcohol,Drugs
3601,sexual-assault,Violence
3605,other-crimes-against-persons,Violence
3611,other-crimes-against-persons,Violence
3612,all-other-crimes,Other
3613,all-other-crimes,Other
3700,other-crimes-against-persons,Violence
3701,other-crimes-against-persons,Violence
3911,all-other-crimes,Other
3990,white-collar-crime,Fraud
3991,all-other-crimes,Other
4002,public-disorder,Verbal
4004,public-disorder,Verbal
4099,public-disorder,Verbal
4101,drug-alcohol,Drugs
4102,drug-alcohol,Drugs
4104,drug-alcohol,Drugs
4105,drug-alcohol,Drugs
4199,drug-alcohol,Drugs
4801,all-other-crimes,Other
4802,all-other-crimes,Other
4803,all-other-crimes,Other
4812,all-other-crimes,Other
4813,all-other-crimes,Other
4899,all-other-crimes,Other
4901,all-other-crimes,Other
4903,all-other-crimes,Other
5006,all-other-crimes,Other
5011,all-other-crimes,Other
5012,all-other-crimes,Other
5015,all-other-crimes,Other
5016,all-other-crimes,Other
5099,all-other-crimes,Other
5104,all-other-crimes,Other
5201,all-other-crimes,Other
5202,all-other-crimes,Other
5203,all-other-crimes,Other
5206,all-other-crimes,Other
5207,all-other-crimes,Other
5211,all-other-crimes,Other
5212,all-other-crimes,Other
5213,all-other-crimes,Other
5214,all-other-crimes,Other
5215,all-other-crimes,Other
5299,all-other-crimes,Other
5302,public-disorder,Verbal
5303,public-disorder,Verbal
5309,public-disorder,Verbal
5310,all-other-crimes,Other
5311,all-other-crimes,Other
5312,public-disorder,Verbal
5313,public-disorder,Verbal
5314,public-disorder,Verbal
5399,public-disorder,Verbal
5401,traffic-accident,M/V
5420,traffic-accident,M/V
5441,traffic-accident,M/V
5444,all-other-crimes,Other
5450,murder,Killing
5454,all-other-crimes,Other
5455,all-other-crimes,Other
5499,all-other-crimes,Other
5704,all-other-crimes,Other
5707,all-other-crimes,Other
5799,all-other-crimes,Other
5801,all-other-crimes,Other
5802,all-other-crimes,Other
6201,all-other-crimes,Other
6205,all-other-crimes,Other
6299,all-other-crimes,Other
6300,all-other-crimes,Other
7099,all-other-crimes,Other
7199,all-other-crimes,Other
7399,all-other-crimes,Other
